,City,Data Science Jobs,Lat,Lng
137,Cypress,1,33.8169366,-118.0368507
138,Ventura,1,34.2804923,-119.2945199
139,Burbank,1,34.1808392,-118.3089661
140,Petaluma,1,38.232417,-122.6366524
141,Union City,1,37.5933918,-122.0438298
142,Buena Park,1,33.8674044,-117.9981387
143,Belmont,1,37.5202145,-122.2758008
144,Temecula,1,33.4936391,-117.1483648
145,Mountain view,1,37.3860517,-122.0838511
146,Wildomar,1,33.5989126,-117.2800372
