,City,Data Science Jobs,Lat,Lng
110,Concord,1,37.9779776,-122.0310733
111,Santa Clarita,1,34.3916641,-118.542586
112,Coronado,1,32.6858853,-117.1830891
113,Chino,1,34.0122346,-117.688944
114,Davis,1,38.5449065,-121.7405167
115,San-Francisco,1,37.7749295,-122.4194155
116,Santa Rosa,1,38.440429,-122.7140548
117,Huntington Beach,1,33.6594835,-117.9988026
118,Whittier,1,33.9791793,-118.032844
119,Chatsworth,1,34.2506356,-118.61481
120,Anaheim,1,33.8365932,-117.9143012
121,Cerritos,1,33.8583483,-118.0647871
122,Santa Maria,1,34.9530337,-120.4357191
123,Newark,1,37.5296593,-122.0402399
124,Tustin,1,33.7420005,-117.8236391
125,California,1,36.778261,-119.4179324
126,East Palo Alto,1,37.4688273,-122.1410751
127,Roseville,1,38.7521235,-121.2880059
128,Union City,1,37.5933918,-122.0438298
129,Temecula,1,33.4936391,-117.1483648
130,Edwards AFB,1,34.9240314,-117.8912085
131,Arroyo Grande,1,35.1185868,-120.5907252
132,Corona,1,33.8752935,-117.5664384
133,El Cajon,1,32.7947731,-116.9625269
134,Upland,1,34.09751,-117.6483876
135,Westwood,1,40.3059999,-121.0057931
136,Escondido,1,33.1192068,-117.086421
137,Burbank,1,34.1808392,-118.3089661
138,Redondo Beach,1,33.8491816,-118.3884078
139,Los Angeles 11766 Wilshire,1,34.0479162,-118.4620338
140,Benicia,1,38.049365,-122.1585777
141,Marina Del Rey,1,33.9802893,-118.4517449
142,Rancho Cordova,1,38.5890723,-121.302728
143,Long Beach,1,33.7700504,-118.1937395
144,Edison,1,35.3475038,-118.8719662
145,santa Clara,1,37.3541079,-121.9552356
146,Lake Forest,1,33.6469437,-117.6861023
